video_id,title,published_at,default_thumbnail_url,large_thumbnail_url
bKKxLK_1ae8,『ショウタイム・ルーラー』3DMVゲームサイズ公開！,2021-10-29T13:09:19Z,https://i.ytimg.com/vi/bKKxLK_1ae8/default.jpg,https://i.ytimg.com/vi/bKKxLK_1ae8/hqdefault.jpg
S-okMR4YUlo,『ray』3DMVゲームサイズ公開！,2021-10-12T06:01:40Z,https://i.ytimg.com/vi/S-okMR4YUlo/default.jpg,https://i.ytimg.com/vi/S-okMR4YUlo/hqdefault.jpg
lu0AF-JByA8,『悪魔の踊り方』3DMVゲームサイズ公開！,2021-10-11T01:42:21Z,https://i.ytimg.com/vi/lu0AF-JByA8/default.jpg,https://i.ytimg.com/vi/lu0AF-JByA8/hqdefault.jpg
kIvTE89Yj2A,『ロストワンの号哭』3DMVゲームサイズ公開！,2021-10-03T08:57:26Z,https://i.ytimg.com/vi/kIvTE89Yj2A/default.jpg,https://i.ytimg.com/vi/kIvTE89Yj2A/hqdefault.jpg
xs4RPTt4J0M,アニバーサリーソング『群青讃歌』3DMVゲームサイズ公開！,2021-09-29T15:08:27Z,https://i.ytimg.com/vi/xs4RPTt4J0M/default.jpg,https://i.ytimg.com/vi/xs4RPTt4J0M/hqdefault.jpg
LLoHF639Jes,『再生』3DMVゲームサイズ公開！,2021-09-29T13:09:52Z,https://i.ytimg.com/vi/LLoHF639Jes/default.jpg,https://i.ytimg.com/vi/LLoHF639Jes/hqdefault.jpg
jzecTyD0ljs,『チルドレンレコード 』3DMVゲームサイズ公開！,2021-11-10T03:11:19Z,https://i.ytimg.com/vi/jzecTyD0ljs/default.jpg,https://i.ytimg.com/vi/jzecTyD0ljs/hqdefault.jpg
3_HXYLEP7aU,『アイスドロップ』3DMVゲームサイズ公開！,2021-08-18T13:10:57Z,https://i.ytimg.com/vi/3_HXYLEP7aU/default.jpg,https://i.ytimg.com/vi/3_HXYLEP7aU/hqdefault.jpg
vnTW9sS-9P4,『ビターチョコデコレーション 』3DMVゲームサイズ公開！,2021-08-05T08:54:19Z,https://i.ytimg.com/vi/vnTW9sS-9P4/default.jpg,https://i.ytimg.com/vi/vnTW9sS-9P4/hqdefault.jpg
ydf6PIlMuyE,『フロムトーキョー』3DMVゲームサイズ公開！,2021-07-07T13:09:32Z,https://i.ytimg.com/vi/ydf6PIlMuyE/default.jpg,https://i.ytimg.com/vi/ydf6PIlMuyE/hqdefault.jpg
vI5xihka9hw,『トンデモワンダーズ』3DMVゲームサイズ公開！,2021-06-21T08:33:59Z,https://i.ytimg.com/vi/vI5xihka9hw/default.jpg,https://i.ytimg.com/vi/vI5xihka9hw/hqdefault.jpg
mlTSkRO92S0,『ロミオとシンデレラ』3DMVゲームサイズ公開！,2021-06-07T06:04:30Z,https://i.ytimg.com/vi/mlTSkRO92S0/default.jpg,https://i.ytimg.com/vi/mlTSkRO92S0/hqdefault.jpg
x7_chKm37m8,『いかないで』3DMVゲームサイズ公開！,2021-05-28T06:05:39Z,https://i.ytimg.com/vi/x7_chKm37m8/default.jpg,https://i.ytimg.com/vi/x7_chKm37m8/hqdefault.jpg
mfYruS61p48,『シネマ』3DMVゲームサイズ公開！,2021-05-08T13:09:16Z,https://i.ytimg.com/vi/mfYruS61p48/default.jpg,https://i.ytimg.com/vi/mfYruS61p48/hqdefault.jpg
QdYji4SVH3A,『アイディスマイル』3DMVゲームサイズ公開！,2021-04-19T13:16:06Z,https://i.ytimg.com/vi/QdYji4SVH3A/default.jpg,https://i.ytimg.com/vi/QdYji4SVH3A/hqdefault.jpg
qtJ6U4c0_fQ,『限りなく灰色へ』3DMVゲームサイズ公開！,2021-04-12T03:08:44Z,https://i.ytimg.com/vi/qtJ6U4c0_fQ/default.jpg,https://i.ytimg.com/vi/qtJ6U4c0_fQ/hqdefault.jpg
